id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,positioning_method,place_county_name,positioning_device,place_town_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1237754,2015-02-15,2015-02-15,,Hawaii,false,40656,dominicrivetti,2015-02-16 21:34:52 UTC,2015-05-13 03:31:25 UTC,research,,http://www.inaturalist.org/observations/1237754,https://static.inaturalist.org/photos/1558366/medium.jpg?1424122497,"newt, cali, amphibian",Many California newts found in small pond at UC Berkeley Botanical Gardens. At least 15 adult newts and many eggsacs. Weather about 75 degrees.,false,1,0,false,,berkeley botanical gardens,37.875099,-122.237344,197.00,,,Alameda,,Oakland,California Newt,Taricha torosa,California Newt,Amphibia,27818
601210,2014-03-29,2014-03-29,,Pacific Time (US & Canada),false,34186,rcbrown,2014-03-30 22:37:05 UTC,2016-05-12 16:11:34 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/601210,https://static.inaturalist.org/photos/756986/medium.jpg?1396219033,,,false,1,0,false,,Tilden Regional Park,37.873942,-122.230775,127.00,,,Alameda,,Oakland,California Newt,Taricha torosa,California Newt,Amphibia,27818
5034994,2017-01-31 3:40:42 PM PST,2017-01-31,2017-01-31 23:40:42 UTC,Pacific Time (US & Canada),false,393367,jonathan108,2017-01-31 23:45:39 UTC,2017-02-10 15:20:54 UTC,research,,https://www.inaturalist.org/observations/5034994,https://static.inaturalist.org/photos/6166189/medium.jpeg?1485906349,,"Lots of eggs in the pond,  newts mating.  Not totally sure if these are California or rough skinned",false,1,0,false,2,"200 Centennial Drive Berkeley, CA 94705",37.8744715005,-122.2375046834,86.00,,gps,Alameda,gps,Oakland,California Newt,Taricha torosa,California Newt,Amphibia,27818
4775531,Tue Dec 13 2016 20:28:29 GMT-0800 (PST),2016-12-13,2016-12-14 04:28:29 UTC,Pacific Time (US & Canada),false,258200,accordiongordon,2016-12-14 22:58:03 UTC,2016-12-15 00:11:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4775531,https://static.inaturalist.org/photos/5815710/medium.jpg?1481756291,,"Found in middle of trail on a cold, mildly rainy night. It seemed to be heading downhill towards water.",false,1,0,false,3,"Berkeley Fire Trails, Oakland, CA, US",37.87317,-122.2282333333,30.00,,,Alameda,,Oakland,California Newt,Taricha torosa,California Newt,Amphibia,27818
4775554,Tue Dec 13 2016 20:44:32 GMT-0800 (PST),2016-12-13,2016-12-14 04:44:32 UTC,Pacific Time (US & Canada),false,258200,accordiongordon,2016-12-14 23:01:37 UTC,2016-12-15 00:11:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4775554,https://static.inaturalist.org/photos/5815742/medium.jpg?1481756507,,"Found in middle of trail on a cold, mildly rainy night. It seemed to be heading downhill towards water.",false,1,0,false,3,"Berkeley Fire Trails, Oakland, CA, US",37.8758916667,-122.227555,30.00,,,Alameda,,Oakland,California Newt,Taricha torosa,California Newt,Amphibia,27818
4775561,Tue Dec 13 2016 20:54:45 GMT-0800 (PST),2016-12-13,2016-12-14 04:54:45 UTC,Pacific Time (US & Canada),false,258200,accordiongordon,2016-12-14 23:02:58 UTC,2016-12-15 00:11:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4775561,https://static.inaturalist.org/photos/5815750/medium.jpg?1481756585,,"Found in middle of trail on a cold, mildly rainy night. It seemed to be heading downhill towards water.",false,2,0,false,3,"Berkeley Fire Trails, Oakland, CA, US",37.87678,-122.229195,30.00,,,Alameda,,Oakland,California Newt,Taricha torosa,California Newt,Amphibia,27818
4775573,Tue Dec 13 2016 21:00:19 GMT-0800 (PST),2016-12-13,2016-12-14 05:00:19 UTC,Pacific Time (US & Canada),false,258200,accordiongordon,2016-12-14 23:05:05 UTC,2016-12-15 00:11:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4775573,https://static.inaturalist.org/photos/5815765/medium.jpg?1481756715,,"Found in middle of trail on a cold, mildly rainy night. It seemed to be heading downhill towards water.",false,1,0,false,3,"Berkeley Fire Trails, Oakland, CA, US",37.8767883333,-122.229095,30.00,,,Alameda,,Oakland,California Newt,Taricha torosa,California Newt,Amphibia,27818
4407295,Sat Oct 15 2016 09:29:05 GMT-0700 (PDT),2016-10-15,2016-10-15 16:29:05 UTC,Pacific Time (US & Canada),false,258200,accordiongordon,2016-10-21 18:02:15 UTC,2016-11-01 18:32:43 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/4407295,https://static.inaturalist.org/photos/5294330/medium.jpg?1477072946,,One of several newt larvae in Arroyo Creek. Could not find any adults.,false,0,0,false,3,"Knowland Park, Oakland, CA, US",37.75387,-122.1484388333,30.00,,,Alameda,,Oakland,,Taricha torosa,California Newt,Amphibia,27818
607099,2014-03-28,2014-03-28,,Eastern Time (US & Canada),false,8956,yasingi,2014-04-04 02:39:28 UTC,2015-05-13 03:33:44 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/607099,https://static.inaturalist.org/photos/765548/medium.JPG?1396579174,,,false,2,0,false,,"berkeley botanical garden, ca",37.874937,-122.239521,16.00,,,Alameda,,Oakland,california newt,Taricha torosa,California Newt,Amphibia,27818
1110257,Wed Dec 03 2014 18:50:23 GMT-0800 (PST),2014-12-03,2014-12-04 02:50:23 UTC,Pacific Time (US & Canada),false,47230,pmdenn,2014-12-04 03:23:12 UTC,2015-05-13 03:04:17 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1110257,https://static.inaturalist.org/photos/1395816/medium.jpg?1417663493,,On driveway,false,2,0,false,3,"5156 Parkridge Dr, Oakland, CA, US",37.789132,-122.144715,10.00,,,Alameda,,Oakland,California Newt,Taricha torosa,California Newt,Amphibia,27818
