id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
39,"January 27, 2008 12:00",2008-01-27,2008-01-27 20:00:00 UTC,Pacific Time (US & Canada),false,1,kueda,2008-03-24 03:06:06 UTC,2016-08-12 17:22:27 UTC,research,CC0,http://www.inaturalist.org/observations/39,https://static.inaturalist.org/photos/5/medium.jpg?1444251784,"","",false,2,0,false,,"Tilden Regional Park, Contra Costa County, US-CA, US",37.8907012939,-122.2399978638,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
40,"January 12, 2008 12:00",2008-01-12,2008-01-12 20:00:00 UTC,Pacific Time (US & Canada),false,1,kueda,2008-03-24 03:10:53 UTC,2016-03-20 20:33:08 UTC,research,CC0,http://www.inaturalist.org/observations/40,https://static.inaturalist.org/photos/6/medium.jpg?1444251801,"","",false,1,0,false,,"Briones Regional Park, Contra Costa County, US-CA, US",37.9339981079,-122.1210021973,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
887,2008-11-28 15:26:14,2008-11-28,2008-11-28 23:26:14 UTC,Pacific Time (US & Canada),,1,kueda,2008-11-29 06:13:22 UTC,2016-03-01 17:26:27 UTC,research,CC0,http://www.inaturalist.org/observations/887,https://static.inaturalist.org/photos/890/medium.jpg?1444256469,"","Lots of newts out today, even in the high and dry areas.  This one was crawling across a sunny trail!",false,1,0,false,,"Alpine Lake, Marin County, CA",37.9479598999,-122.6123428345,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
888,2008-11-28 13:28:57,2008-11-28,2008-11-28 21:28:57 UTC,Pacific Time (US & Canada),false,1,kueda,2008-11-29 06:13:23 UTC,2016-03-01 17:26:27 UTC,research,CC0,http://www.inaturalist.org/observations/888,https://static.inaturalist.org/photos/892/medium.jpg?1444256476,"","",false,1,0,false,,"Alpine Lake, Marin County, CA",37.9522361755,-122.6253356934,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
2312,2009-02-21,2009-02-21,,Pacific Time (US & Canada),,32,ap2il,2009-04-14 03:39:41 UTC,2016-09-06 02:19:57 UTC,research,,http://www.inaturalist.org/observations/2312,https://static.inaturalist.org/photos/2964/medium.jpg?1444494061,unken reflex; amplexus,"",false,1,0,false,,Briones Regional Park,37.9370498657,-122.1373748779,,,,,California Newt (Taricha torosa),Taricha torosa,California Newt,Amphibia,27818
4499,"January 24, 2010 15:13",2010-01-24,2010-01-24 23:13:00 UTC,Pacific Time (US & Canada),,311,antonyw,2010-01-26 04:37:58 UTC,2016-03-01 17:41:23 UTC,research,,http://www.inaturalist.org/observations/4499,https://static.inaturalist.org/photos/8595/medium.JPG?1444766158,"","The girl's target for the day was to find Newts,  they ended up finding six total in the general area.  Also found some nice salamanders up near the end of Gazos Creek Road.",false,2,0,false,,Butano SP,37.1931419373,-122.3290710449,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
5603,"February 18, 2010 13:32",2010-02-18,2010-02-18 21:32:00 UTC,Pacific Time (US & Canada),,311,antonyw,2010-02-19 06:44:25 UTC,2016-09-23 00:52:53 UTC,research,,http://www.inaturalist.org/observations/5603,https://static.inaturalist.org/photos/10663/medium.JPG?1444766246,"",A newt having a bad day.  I was wondering what ate newts coming up the ridge when I almost stepped on one.,false,1,0,false,,"Henry Coe State Park, CA, US",37.0797233582,-121.4079742432,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
5717,2010-02-19,2010-02-19,,Pacific Time (US & Canada),,28,tiwane,2010-02-21 21:04:16 UTC,2016-10-31 21:07:52 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/5717,https://static.inaturalist.org/photos/11091/medium.jpg?1444280247,"newt, amphibian","Some of these guys were high up on ridges, pretty far from any water.",false,1,0,false,,Las Trampas Wilderness,37.8056602478,-122.0084457397,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
5883,2010-03-06,2010-03-06,,Pacific Time (US & Canada),,28,tiwane,2010-03-07 08:48:10 UTC,2016-10-31 21:07:53 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/5883,https://static.inaturalist.org/photos/11487/medium.jpg?1444281063,"",Chilling by the bank of a pond.,false,1,0,false,,sibley oakland california,37.8488502502,-122.1980209351,,,,,Taricha torosa,Taricha torosa,California Newt,Amphibia,27818
5933,2010-01-23,2010-01-23,,Pacific Time (US & Canada),false,337,brighto,2010-03-11 05:37:01 UTC,2016-09-23 00:53:28 UTC,research,,http://www.inaturalist.org/observations/5933,https://static.inaturalist.org/photos/11606/medium.JPG?1444766700,"","",false,1,0,false,,"Mt Madonna County Park, Santa Clara County, Ca.",37.0107765198,-121.6976165771,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
9014,"November 19, 2010 16:48",2010-11-19,2010-11-20 00:48:00 UTC,Pacific Time (US & Canada),false,1,kueda,2010-11-20 07:38:27 UTC,2016-03-01 18:09:51 UTC,research,CC0,http://www.inaturalist.org/observations/9014,https://static.inaturalist.org/photos/19346/medium.jpg?1444297280,"","",false,2,0,false,,"Pepperwood Preserve, Sonoma County, CA, USA",38.5721893311,-122.6933670044,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
9017,2010-11-19,2010-11-19,,Pacific Time (US & Canada),false,477,loarie,2010-11-22 01:57:35 UTC,2016-03-01 18:09:52 UTC,research,CC0,http://www.inaturalist.org/observations/9017,https://static.inaturalist.org/photos/19357/medium.jpg?1444297299,"",on the move!,false,2,0,false,,pepperwood preserve CA,38.5806083679,-122.6950531006,,,,,taricha torosa,Taricha torosa,California Newt,Amphibia,27818
11125,2004-03-18,2004-03-18,,Pacific Time (US & Canada),,549,bob-dodge,2011-02-09 21:54:07 UTC,2016-03-01 18:29:59 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/11125,https://static.inaturalist.org/photos/22806/medium.jpg,"",along the creek trail. It was headed towards the creek,false,2,0,false,,"JRBP, Stanford CA",37.4102893797,-122.2319555283,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
12483,2009-02-28,2009-02-28,,Pacific Time (US & Canada),false,714,curiousgeorge61,2011-03-09 05:40:20 UTC,2016-12-01 04:08:57 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/12483,https://static.inaturalist.org/photos/24694/medium.jpeg,"",This mating pair was found in one of the vernal pools at double pond,false,3,1,false,,"Pepperwood Preserve, CA",38.5842555062,-122.7003872395,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
12756,"March 12, 2011 5:29:50 PM PST",2011-03-12,2011-03-13 01:29:50 UTC,Pacific Time (US & Canada),,839,microecos,2011-03-13 03:38:14 UTC,2016-03-01 18:57:05 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/12756,https://static.inaturalist.org/photos/25084/medium.jpg,"","",false,1,0,false,,Portola Valley CA,37.3841066,-122.2352443,,,,,Taricha torosa,Taricha torosa,California Newt,Amphibia,27818
12757,"March 12, 2011 6:41:11 PM PST",2011-03-12,2011-03-13 02:41:11 UTC,Pacific Time (US & Canada),,852,sugeknight574,2011-03-13 03:48:30 UTC,2016-09-23 00:54:28 UTC,research,,http://www.inaturalist.org/observations/12757,https://static.inaturalist.org/photos/25057/medium.jpg,"","",false,2,0,false,,"37.298728942871094, -122.07170104980469",37.2987289429,-122.0717010498,,,,,Taricha torosa,Taricha torosa,California Newt,Amphibia,27818
14318,"April 13, 2011 7:39:55 PM PDT",2011-04-13,2011-04-14 02:39:55 UTC,Pacific Time (US & Canada),false,1,kueda,2011-04-14 04:47:05 UTC,2016-03-01 19:56:41 UTC,research,CC0,http://www.inaturalist.org/observations/14318,https://static.inaturalist.org/photos/28170/medium.jpg,"",Bunch of them crossing the trail,false,1,0,false,,"Tilden Regional Park, Berkeley, CA, USA",37.8946113586,-122.234703064,47,,,,California newt,Taricha torosa,California Newt,Amphibia,27818
16439,"May 6, 2011 4:00:02 PM PDT",2011-05-06,2011-05-06 23:00:02 UTC,Pacific Time (US & Canada),false,933,chriswbrown,2011-05-09 15:05:22 UTC,2014-06-30 05:47:03 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/16439,https://static.inaturalist.org/photos/31209/medium.jpg,"","",false,0,0,false,,"Bill Williams Trail, Phoenix Lake, Marin County, CA",37.9449157715,-122.5726165771,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
17509,"May 17, 2011 6:14:29 PM PDT",2011-05-17,2011-05-18 01:14:29 UTC,Pacific Time (US & Canada),,513,davidkroodsma,2011-05-18 02:40:03 UTC,2016-03-01 17:14:09 UTC,research,,http://www.inaturalist.org/observations/17509,https://static.inaturalist.org/photos/32446/medium.jpg,"","",false,1,0,false,,"3671-3675 Sand Hill Rd, Redwood City, CA 94062, USA",37.4108543396,-122.2354507446,,,,,California Newt (Taricha torosa),Taricha torosa,California Newt,Amphibia,27818
17529,"May 17, 2011 6:14:43 PM PDT",2011-05-17,2011-05-18 01:14:43 UTC,Pacific Time (US & Canada),,477,loarie,2011-05-18 16:20:57 UTC,2016-03-01 17:14:05 UTC,research,CC0,http://www.inaturalist.org/observations/17529,https://static.inaturalist.org/photos/32497/medium.jpg,"","",false,1,0,false,,"3671-3675 Sand Hill Rd, Redwood City, CA 94062, USA",37.4107971191,-122.2355575562,5,,,,California newt,Taricha torosa,California Newt,Amphibia,27818
19995,2011-06-02,2011-06-02,,Hawaii,,462,barbarab,2011-06-03 06:06:36 UTC,2016-09-23 00:57:35 UTC,research,,http://www.inaturalist.org/observations/19995,https://static.inaturalist.org/photos/35888/medium.JPG,"amphibian, newt",Newt larvae.,false,1,0,false,,"Picchetti Ranch, Santa Clara County, CA",37.2911599115,-122.0868694782,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
24317,2006-02-07,2006-02-07,,Pacific Time (US & Canada),false,2127,lavette,2011-07-09 07:57:27 UTC,2016-09-23 00:58:51 UTC,research,,http://www.inaturalist.org/observations/24317,https://static.inaturalist.org/photos/44014/medium.JPG,"","",false,2,0,false,,"Almaden Quicksilver County Park, San Jose, CA",37.1824652,-121.8505679,,,,,California Newt,Taricha torosa,California Newt,Amphibia,27818
